algorithm,params,accuracy,MCC,DisparateImpact
Feldman-SVM,{'lambda': 1.0},0.8344937338372787,0.5116304906296353,0.2943923670525511
Feldman-SVM,{'lambda': 1.0},0.8269345534115775,0.4806505970330793,0.31837177747625506
Feldman-SVM,{'lambda': 1.0},0.816888800477422,0.4620412692572066,0.34144334266364096
Feldman-GaussianNB,{'lambda': 1.0},0.8373781579470857,0.5589372882101372,0.3436440424519727
Feldman-GaussianNB,{'lambda': 1.0},0.8385717127511438,0.563505151320158,0.321418650244232
Feldman-GaussianNB,{'lambda': 1.0},0.8252436841058285,0.5525520822356859,0.3678797277764394
Feldman-GaussianNB,{'lambda': 1.0},0.835289437039984,0.5594373216362926,0.3266487239328465
Feldman-GaussianNB,{'lambda': 1.0},0.8238512035010941,0.5378859094526237,0.3449944914293121
Feldman-GaussianNB,{'lambda': 1.0},0.8387706385518202,0.5608270729524063,0.33332438442711343
Feldman-GaussianNB,{'lambda': 1.0},0.8205689277899344,0.5493686172443139,0.3426235258494136
Feldman-GaussianNB,{'lambda': 1.0},0.8256415357071812,0.5450947505252036,0.34123636068632623
Feldman-GaussianNB,{'lambda': 1.0},0.8329023274318679,0.5572036991242468,0.33562064454115825
Feldman-GaussianNB,{'lambda': 1.0},0.831808235528148,0.5528636787272961,0.3420342065232848
Feldman-LR,{'lambda': 1.0},0.8491147801869903,0.5865137424434125,0.2867836929842776
Feldman-LR,{'lambda': 1.0},0.8418539884623035,0.5471817145253289,0.3058583250119918
Feldman-LR,{'lambda': 1.0},0.8471255221802267,0.5653816387981724,0.30001120448179275
Feldman-LR,{'lambda': 1.0},0.8509051123930774,0.5853279812673549,0.27566927790494333
Feldman-LR,{'lambda': 1.0},0.8470260592798886,0.5614989406362673,0.29327903588928617
Feldman-LR,{'lambda': 1.0},0.8489158543863139,0.5707386861419179,0.2998296085376708
Feldman-LR,{'lambda': 1.0},0.8425502287646708,0.5615333072231441,0.28716800472665344
Feldman-LR,{'lambda': 1.0},0.8477222995822559,0.5674611799514163,0.2734207119219529
Feldman-LR,{'lambda': 1.0},0.8505072607917247,0.5707031270166408,0.28054121913795516
Feldman-LR,{'lambda': 1.0},0.8441416351700816,0.5716203226529926,0.28983630149307427
Feldman-DecisionTree,{'lambda': 1.0},0.8085339168490153,0.4859991605735744,0.42282702684424345
Feldman-DecisionTree,{'lambda': 1.0},0.8046548637358265,0.4808061890637496,0.39586295024359075
Feldman-DecisionTree,{'lambda': 1.0},0.8055500298388701,0.47619148451679094,0.4184928853198084
Feldman-DecisionTree,{'lambda': 1.0},0.8025661428287248,0.465641896556045,0.3793265200207593
Feldman-DecisionTree,{'lambda': 1.0},0.8081360652476626,0.46902427431200344,0.3904789116173356
Feldman-DecisionTree,{'lambda': 1.0},0.8019693654266958,0.4708650848974139,0.3787280024698981
Feldman-DecisionTree,{'lambda': 1.0},0.8021682912273722,0.4704336845541048,0.41068849132251495
Feldman-DecisionTree,{'lambda': 1.0},0.8023672170280486,0.4669926087394926,0.36058392069222395
Feldman-DecisionTree,{'lambda': 1.0},0.8132086731649095,0.4862160585583583,0.3785219944900246
Feldman-DecisionTree,{'lambda': 1.0},0.7910284463894968,0.43174290309097557,0.43284964375827767
Feldman-SVM-DisparateImpact,{'lambda': 0.55},0.8354883628406604,0.5128323364262849,0.30176889735820656
Feldman-SVM-DisparateImpact,{'lambda': 0.55},0.8311119952257808,0.5060210369078169,0.30109061069249154
Feldman-SVM-DisparateImpact,{'lambda': 0.5},0.8339964193355879,0.5106830764580432,0.30927942887162746
Feldman-SVM-DisparateImpact,{'lambda': 0.35},0.841555599761289,0.5392431005778795,0.30839554473232467
Feldman-SVM-DisparateImpact,{'lambda': 0.6},0.8426496916650089,0.5391201028825655,0.30255968239042985
Feldman-SVM-DisparateImpact,{'lambda': 0.55},0.8279291824149593,0.49420219635495577,0.3143756796179773
