algorithm,params,accuracy,MCC,DisparateImpact
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.85},0.8178834294808036,0.5379900550825134,0.41084645543095827
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.8261388502088721,0.5112622054205076,0.4104877217159559
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.827232942112592,0.5402648222297195,0.3524370095002065
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8232544260990651,0.5336972903978912,0.38137363998200013
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8286254227173264,0.5295409520241554,0.3411451552843207
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8263377760095484,0.5487366838709574,0.37691236546277007
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8239506664014322,0.5292216705305504,0.3551419394662892
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8212651680923015,0.5238839937812138,0.38116644923819715
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8265367018102248,0.5296595778552687,0.39315348161402397
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8213646309926398,0.5278908837255647,0.3794961739005034
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8230555002983887,0.5452546024734046,0.40322662392254677
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8269345534115775,0.5234881774831734,0.36865962887031656
