algorithm,params,accuracy,MCC,DisparateImpact,CV
Feldman-SVM-accuracy,{'lambda': 0.75},0.8205128205128205,0.6000077303150748,0.6000000000000001,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.85},0.9230769230769231,0.8557250996811162,0.7384615384615385,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.8717948717948718,0.7335607766528132,0.9500000000000001,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.7948717948717948,0.5846695269740968,0.8571428571428572,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.717948717948718,0.3932832531035577,1.0,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.8461538461538461,0.7010681840159739,0.9920634920634921,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.9487179487179487,0.9023778112773574,0.9705882352941178,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.9},0.7948717948717948,0.5666666666666671,1.1323529411764706,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.95},0.8461538461538461,0.6904761904761905,0.9333333333333333,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 1.0},0.8205128205128205,0.6507936507936506,1.0,1.0
Feldman-GaussianNB-DisparateImpact,{'lambda': 0.8},0.8205128205128205,0.6050580452280905,0.45714285714285713,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.95},0.9487179487179487,0.9008852329229012,0.8,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.9},0.8974358974358975,0.7930598024533708,0.8444444444444446,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8717948717948718,0.7372097807744861,0.6,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.8},0.7692307692307693,0.5120523221753431,0.6666666666666666,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.85},0.8461538461538461,0.7010681840159739,0.9920634920634921,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.95},0.9487179487179487,0.9023778112773574,0.9705882352941178,1.0
Feldman-GaussianNB-accuracy,{'lambda': 0.8},0.8717948717948718,0.7335607766528132,0.7764705882352942,1.0
