,name,attribute,algorithm,params,run-id,DIbinary,DIavgall,CV,comparative-sensitive-TPR,accuracy,0-accuracy,1-accuracy,sensitive-accuracy,TNR,sensitive-TNR,comparative-sensitive-accuracy,BCR,sensitive-calibration+,sensitive-calibration-,TPR,sensitive-TPR,comparative-sensitive-TNR,MCC,comparative-sensitive-calibration+,comparative-sensitive-calibration-
47,propublica-recidivism,sex,Kamishima,eta=1.0,7,0.8815201192250371,0.8815201192250371,0.9427130246802378,1.012093023255814,0.6467065868263473,0.6885245901639344,0.6373626373626373,0.6629436137632858,0.6611111111111111,0.6840277777777778,1.051161952801297,0.6454906204906206,0.6145104895104896,0.2987841945288754,0.6298701298701299,0.633953488372093,1.0763888888888888,0.2905204627966961,1.0017482517482517,0.9167173252279636
48,propublica-recidivism,sex,Kamishima,eta=1.0,8,0.8354830218478547,0.8354830218478547,0.9219140429785108,1.048582995951417,0.6586826347305389,0.7413793103448276,0.6413043478260869,0.6913418290854573,0.7115384615384616,0.748991935483871,1.1000749625187407,0.6619490060501296,0.7207102555592433,0.3354679802955665,0.6123595505617978,0.6295546558704453,1.127016129032258,0.3241783219857815,1.0368403584467307,0.8433497536945813
49,propublica-recidivism,sex,Kamishima,eta=1.0,9,0.6907517464289438,0.6907517464289438,0.8377905386929176,0.7696292257360959,0.655688622754491,0.6086956521739131,0.6679245283018868,0.6383100902379,0.6571428571428571,0.6745540589734256,0.9407711238720264,0.6556154537286613,0.5873381294964028,0.3291847041847041,0.6540880503144654,0.5794711014176663,1.0655260283946122,0.3109237670261579,0.8653237410071942,1.0234487734487734
50,propublica-recidivism,sex,Calders,beta=1.0,0,0.7022100706311233,0.7022100706311233,0.8522161917684306,0.78125,0.6227544910179641,0.5606060606060606,0.6380597014925373,0.5993328810492989,0.6645569620253164,0.6795540796963947,0.9225463591135232,0.6248921173762946,0.620954560313828,0.4209302325581396,0.5852272727272727,0.515625,1.0526565464895636,0.2499640779861643,0.8885256619810395,1.041860465116279
51,propublica-recidivism,sex,Calders,beta=1.0,1,0.9525030525030526,0.9525030525030526,0.9777523591649986,1.0513888888888892,0.5958083832335329,0.6461538461538462,0.5836431226765799,0.614898484415213,0.6375,0.6548571428571428,1.0625107234772662,0.5974856321839079,0.6238368910782703,0.3939393939393939,0.5574712643678161,0.5743055555555556,1.0617142857142858,0.1953047738641462,0.9937055281882868,0.8787878787878788
52,propublica-recidivism,sex,Calders,beta=1.0,2,0.9929078014184396,0.9929078014184396,0.9964285714285714,0.8596294216732173,0.6497005988023952,0.5370370370370371,0.6714285714285714,0.6042328042328042,0.6432748538011696,0.6000249750249751,0.8656084656084657,0.6498582857962902,0.5890464933018125,0.3804956035171863,0.656441717791411,0.6086468276249297,0.8713786213786213,0.29963595711209057,0.8589440504334122,1.1278976818545163
53,propublica-recidivism,sex,Calders,beta=1.0,3,0.5480093676814989,0.5480093676814989,0.7566204287515763,0.7997122302158273,0.6137724550898204,0.6557377049180327,0.6043956043956044,0.6300666546568185,0.6176470588235294,0.6863598673300166,1.0513421005224284,0.6137015781922526,0.6082766439909297,0.36120339608711705,0.6097560975609756,0.5401438848920863,1.238391376451078,0.22738276788252434,1.0056689342403629,0.9287559985234404
54,propublica-recidivism,sex,Calders,beta=1.0,4,0.9443269908386188,0.9443269908386188,0.9732021709633648,1.0359589041095891,0.6197604790419161,0.6363636363636364,0.6156716417910447,0.6260176390773405,0.6463414634146342,0.6451990632318502,1.0206919945725916,0.6202295552367288,0.5833333333333333,0.3408273381294964,0.5941176470588235,0.6070205479452055,0.9953161592505856,0.2406966436655153,0.8333333333333334,0.8183453237410072
55,propublica-recidivism,sex,Calders,beta=1.0,5,1.3368808303770858,1.3368808303770858,1.1580277349768875,1.063918096292197,0.6017964071856288,0.5084745762711864,0.6218181818181818,0.5651463790446841,0.6035502958579881,0.5241755793226381,0.8866563944530046,0.6017751479289941,0.5475591870940708,0.3997509339975094,0.6,0.6218871057000553,0.7395276292335116,0.2035393472903091,0.8238005447307772,1.0186799501867996
56,propublica-recidivism,sex,Calders,beta=1.0,6,0.9500065954359582,0.9500065954359582,0.9759959465450628,0.9357142857142856,0.6137724550898204,0.5789473684210527,0.6209386281588448,0.5999429982899487,0.6385542168674698,0.6315127107978857,0.9580087402622078,0.6139199655765921,0.6042510121457491,0.4041218637992832,0.5892857142857143,0.5678571428571428,0.9783538887490562,0.2280977173165208,0.945344129554656,1.0304659498207889
