name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.1,DecisionTree,,3,0.985074627,0.857142857,1,0.928571429,0.918200052,0,1,0.853658537,1,0.975609756,0.987804878,1.025,1.025,1.024390244,1.024390244,0,0.857142857,0.428571429,0,1,0.142857143,0.142857143,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.142857143,0.571428571,7,7,1.857142857,1.857142857,1,1,1,1,1,1,1,0,0.028571429,0.014285714,0,1,0.971428571,0.971428571
two-gaussians,sensitive-attr,0.1,DecisionTree,,4,0.985074627,0.8,1,0.9,0.887300168,0.323529412,0.323529412,0.938502674,1,0.96969697,0.984848485,1.03125,1.03125,1.03030303,1.03030303,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.033333333,0.016666667,0,1,0.966666667,0.966666667
two-gaussians,sensitive-attr,0.1,DecisionTree,,5,1,1,1,1,1,0.257575758,0.257575758,0.912655971,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,DecisionTree,,6,1,1,1,1,1,0.4375,0.4375,0.919642857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,DecisionTree,,7,1,1,1,1,1,0.411111111,0.411111111,0.904504505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,DecisionTree,,8,0.985074627,0.888888889,1,0.944444444,0.934784989,0.187192118,0.187192118,0.850272232,1,0.973684211,0.986842105,1.027027027,1.027027027,1.026315789,1.026315789,1,0.875,0.9375,1.142857143,1.142857143,1.125,1.125,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.125,0.0625,0,1,0.875,0.875,1,1,1,1,1,1,1,0,0.032258065,0.016129032,0,1,0.967741935,0.967741935
two-gaussians,sensitive-attr,0.1,DecisionTree,,9,1,1,1,1,1,0.436781609,0.436781609,0.91107078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,0,0.895522388,0.125,1,0.5625,0.334278962,0,1,0.970588235,0.909090909,0.882352941,0.895721925,1.03030303,1.03030303,1.026737968,1.026737968,0,0.2,0.1,0,1,0.8,0.8,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.8,0.9,1.25,1.25,1.2,1.2,1,1,1,1,1,1,1,0.090909091,0.121212121,0.106060606,0.75,0.75,0.96969697,0.96969697
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,1,0.925373134,0.375,1,0.6875,0.587965241,0,1,0.911764706,0.909090909,0.941176471,0.92513369,0.965909091,0.965909091,0.967914439,0.967914439,0,0.6,0.3,0,1,0.4,0.4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.4,0.7,2.5,2.5,1.6,1.6,1,1,1,1,1,1,1,0.090909091,0.064516129,0.07771261,1.409090909,1.409090909,1.026392962,1.026392962
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,2,0.925373134,0.444444444,1,0.722222222,0.639664815,0,1,0.875,0.914285714,0.9375,0.925892857,0.975238095,0.975238095,0.976785714,0.976785714,0,0.666666667,0.333333333,0,1,0.333333333,0.333333333,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.333333333,0.666666667,3,3,1.666666667,1.666666667,1,1,1,1,1,1,1,0.085714286,0.071428571,0.078571429,1.2,1.2,1.014285714,1.014285714
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,3,0.940298507,0.428571429,1,0.714285714,0.633865691,0,1,0.926829268,1,0.902439024,0.951219512,1.108108108,1.108108108,1.097560976,1.097560976,0,0.428571429,0.214285714,0,1,0.571428571,0.571428571,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.571428571,0.785714286,1.75,1.75,1.428571429,1.428571429,1,1,1,1,1,1,1,0,0.105263158,0.052631579,0,1,0.894736842,0.894736842
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,4,0.940298507,0.2,1,0.6,0.433449868,0,1,0.96969697,0.970588235,0.909090909,0.939839572,1.067647059,1.067647059,1.061497326,1.061497326,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0.029411765,0.09375,0.061580882,0.31372549,0.31372549,0.935661765,0.935661765
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,5,0.955223881,0.4,1,0.7,0.617687997,0,1,0.941176471,0.96969697,0.941176471,0.95543672,1.03030303,1.03030303,1.028520499,1.028520499,0,0.5,0.25,0,1,0.5,0.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.5,0.75,2,2,1.5,1.5,1,1,1,1,1,1,1,0.03030303,0.0625,0.046401515,0.484848485,0.484848485,0.96780303,0.96780303
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,6,0.925373134,0.285714286,1,0.642857143,0.513552591,0,1,0.942857143,0.9375,0.914285714,0.925892857,1.025390625,1.025390625,1.023214286,1.023214286,0,0.4,0.2,0,1,0.6,0.6,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.6,0.8,1.666666667,1.666666667,1.4,1.4,1,1,1,1,1,1,1,0.0625,0.090909091,0.076704545,0.6875,0.6875,0.971590909,0.971590909
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,7,0.925373134,0.375,1,0.6875,0.587965241,0,1,0.918918919,0.933333333,0.918918919,0.926126126,1.015686275,1.015686275,1.014414414,1.014414414,0,0.5,0.25,0,1,0.5,0.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.5,0.75,2,2,1.5,1.5,1,1,1,1,1,1,1,0.066666667,0.088235294,0.07745098,0.755555556,0.755555556,0.978431373,0.978431373
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,8,0.880597015,0.111111111,1,0.555555556,0.312478956,0,1,0.973684211,0.965517241,0.815789474,0.890653358,1.183537264,1.183537264,1.149727768,1.149727768,0,0.125,0.0625,0,1,0.875,0.875,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.875,0.9375,1.142857143,1.142857143,1.125,1.125,1,1,1,1,1,1,1,0.034482759,0.189189189,0.111835974,0.18226601,0.18226601,0.845293569,0.845293569
two-gaussians,sensitive-attr,0.1,Kamishima,eta=1.0,9,0.925373134,0.375,1,0.6875,0.587965241,0,1,0.921052632,0.931034483,0.921052632,0.926043557,1.010837438,1.010837438,1.009981851,1.009981851,0,0.5,0.25,0,1,0.5,0.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.5,0.75,2,2,1.5,1.5,1,1,1,1,1,1,1,0.068965517,0.085714286,0.077339901,0.804597701,0.804597701,0.983251232,0.983251232
two-gaussians,sensitive-attr,0.1,Calders,beta=1.0,0,0.880597015,0,1,0.5,0,1,1,1,0.909090909,0.852941176,0.881016043,1.065830721,1.065830721,1.056149733,1.056149733,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.090909091,0.147058824,0.118983957,0.618181818,0.618181818,0.943850267,0.943850267
two-gaussians,sensitive-attr,0.1,Calders,beta=1.0,1,0.880597015,0,1,0.5,0,1,1,1,0.909090909,0.852941176,0.881016043,1.065830721,1.065830721,1.056149733,1.056149733,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.090909091,0.147058824,0.118983957,0.618181818,0.618181818,0.943850267,0.943850267
